word,stress pattern,frequency,word type
rauswerfen,100,5,47,Content
Pult,1,1,18,Content
Schwimmblase,100,0,04,Content
ununterbrochen,10000,3,27,Content
Nacken,10,9,53,Content
verwechselbar,0100,0,04,Content
Talk,1,1,81,Content
repressiv,001,0,04,Content
Tasche,10,69,45,Content
geschickt,01,88,43,Content
aufzeigen,100,0,98,Content
Generalleutnant,00100,0,2,Content
Feuerwehr,100,7,95,Content
Rinnsal,10,0,08,Content
dienen,10,25,Content
ausstecken,100,0,04,Content
bibbern,10,0,04,Content
Mondlandschaft,100,0,04,Content
aufschlagen,100,2,17,Content
vervielfachen,0100,0,08,Content
Urkraft,10,0,08,Content
Natur,01,37,84,Content
Nahverkehr,100,0,04,Content
Neid,1,3,62,Content
bleich,1,2,01,Content
Kochbuch,10,1,1,Content
Telex,10,0,2,Content
popularisieren,000010,0,04,Content
Agenda,010,0,47,Content
Erdachse,100,0,16,Content
Schwengel,10,0,31,Content
sonstwer,10,0,31,Function
warnen,10,22,72,Content
Grenzgebiet,100,0,04,Content
Zopf,1,0,51,Content
anlernen,100,0,08,Content
Vitamin,001,2,09,Content
fromm,1,1,3,Content
Einschreiben,100,2,36,Content
Affentheater,10000,0,75,Content
weltweit,10,7,24,Content
einklinken,100,0,94,Content
Vorvater,100,0,04,Content
herausbekommen,01000,1,26,Content
auspressen,100,0,16,Content
faseln,10,0,31,Content
zusammenprallen,01000,0,08,Content
Nirwana,010,0,59,Content
verschlucken,010,1,1,Content
Macher,10,0,83,Content
amphibisch,010,0,04,Content
Selbstbewusstsein,1000,1,93,Content
wach,1,79,85,Content
Atemzug,100,3,94,Content
wehleidig,100,0,2,Content
vereisen,010,0,16,Content
ausborgen,100,0,55,Content
Korruption,0001,3,43,Content
Lagerfeuer,1000,2,4,Content
tollen,10,24,41,Content
verstecken,010,61,66,Content
Madonna,010,5,2,Content
Eisdiele,100,1,18,Content
Ungewitter,1000,0,04,Content
Pferch,1,0,16,Content
skizzieren,010,0,47,Content
Amaryllis,0010,0,12,Content
endlos,10,4,88,Content
Vorschuss,10,3,94,Content
Fluss,1,47,99,Content
Hochkultur,100,0,04,Content
Rente,10,7,4,Content
tranchieren,010,0,04,Content
Erhalt,01,0,79,Content
Geplauder,010,0,51,Content
schwerlich,10,0,71,Content
Bohrer,10,2,95,Content
Emission,0001,0,08,Content
Idealbild,0010,0,2,Content
verlegen,010,10,47,Content
vollautomatisch,10000,0,47,Content
Lorbeerkranz,100,0,04,Content
erdrosseln,010,0,51,Content
Stepper,10,0,16,Content
reduzieren,0010,3,39,Content
Pflegemutter,1000,0,51,Content
abzupfen,100,0,04,Content
bleihaltig,100,0,04,Content
Schlampe,10,65,44,Content
Imperativ,1000,0,12,Content
Eden,10,3,15,Content
erlahmen,010,0,08,Content
aufpflanzen,100,0,12,Content
bersten,10,0,63,Content
verhexen,010,0,71,Content
Verstopfung,010,1,5,Content
zetern,10,0,08,Content
solange,010,110,16,Content
Millionstel,0010,0,28,Content
Rogen,10,0,08,Content
Apartmenthaus,0100,0,28,Content
preiswert,10,0,63,Content
zunichte,010,2,4,Content
Nonsens,01,0,35,Content
vorfinden,100,1,38,Content
Vokabular,0001,1,14,Content
Pestilenz,001,0,24,Content
darlegen,100,0,47,Content
Tutor,10,0,43,Content
eisern,10,0,35,Content
wiederholbar,0010,0,04,Content
schwanken,10,0,98,Content
Plakat,01,1,89,Content
tagein,01,0,71,Content
Tombola,100,0,43,Content
Teufelskreis,100,0,59,Content
Entlarvung,010,0,28,Content
schmutzig,10,15,04,Content
Inkubus,100,0,28,Content
Schrapnell,01,0,63,Content
Tubus,10,0,16,Content
anschwellen,100,0,75,Content
Inhaltsangabe,10000,0,16,Content
inspizieren,0010,1,06,Content
verschlimmern,010,1,22,Content
Sprungseil,10,0,08,Content
Versorgung,010,3,27,Content
Wahrsagerin,1000,1,22,Content
Drang,1,5,55,Content
Zuchtbulle,100,0,2,Content
beehren,010,1,89,Content
Nachtdienst,10,0,47,Content
peilen,10,0,2,Content
Alligator,0010,2,24,Content
vorankommen,0100,1,22,Content
Nervensystem,1000,3,23,Content
Wunderkind,100,1,42,Content
algorithmisch,0010,0,08,Content
Weitsicht,10,0,24,Content
verleiten,010,0,79,Content
asthmatisch,010,0,08,Content
Elan,01,0,98,Content
Information,00001,26,58,Content
Baum,1,40,24,Content
Lenz,1,0,35,Content
Heilung,10,7,56,Content
projizieren,0010,0,55,Content
Irrglauben,100,0,24,Content
Tankwagen,100,0,83,Content
Nahaufnahme,1000,3,46,Content
Abgesandte,1000,0,71,Content
seidig,10,0,24,Content
Mitternacht,100,20,36,Content
Meier,10,0,47,Content
untersuchen,0010,25,95,Content
Pak,1,3,39,Content
Sperma,10,4,29,Content
versalzen,010,0,91,Content
Nichtsnutz,10,2,6,Content
Bearbeitung,0100,1,3,Content
Passkontrolle,1000,0,24,Content
belohnen,010,3,82,Content
Fritte,10,0,2,Content
Stuhlgang,10,1,26,Content
Absicht,10,29,33,Content
Wahnvorstellung,1000,1,02,Content
gruppieren,010,1,1,Content
Samstag,10,24,49,Content
Venus,10,3,58,Content
Trubel,10,1,18,Content
Richter,10,35,2,Content
Rowdy,10,2,56,Content
für,1,4575,53,Function
Auszeichnung,100,4,76,Content
Retention,0001,0,04,Content
Obdach,10,1,34,Content
Atom,01,1,73,Content
abplagen,100,0,04,Content
ereignislos,0100,0,28,Content
Hitze,10,15,83,Content
Verwesung,010,0,47,Content
Schweigepflicht,100,1,22,Content
Geschnatter,010,0,24,Content
ohrfeigen,100,1,42,Content
Novize,010,0,2,Content
Autobiographie,100000,0,79,Content
Skonto,10,0,08,Content
wegschneiden,100,0,28,Content
Gelaufe,010,0,04,Content
Phalanx,10,0,83,Content
Stress,1,22,76,Content
Vagina,010,5,2,Content
Schachzug,10,1,69,Content
Eroberer,0100,1,06,Content
Spann,1,0,75,Content
nachweisbar,100,0,31,Content
Erziehungsheim,0100,0,39,Content
Antiquariat,00001,0,28,Content
Pauker,10,0,28,Content
Sandsack,10,0,51,Content
Ruhm,1,14,57,Content
Werbemittel,1000,0,04,Content
Hotelbesitzer,01000,0,12,Content
Palais,01,0,16,Content
schnuppern,10,1,1,Content
Euphemismus,0010,0,59,Content
Lippenstift,100,7,24,Content
eignen,10,1,38,Content
zyklisch,10,0,24,Content
Ummantelung,0100,0,08,Content
Rezept,01,11,18,Content
Mitspieler,100,0,35,Content
wechselseitig,1000,0,04,Content
Schweinestall,100,1,73,Content
Amnesie,001,4,41,Content
beschleunigen,0100,6,58,Content
Kuhfladen,100,0,24,Content
Altruismus,0010,0,2,Content
Mitwisser,100,0,16,Content
Trockenofen,1000,0,04,Content
Prolog,01,0,59,Content
Verbannung,010,1,3,Content
Anerbietung,1000,0,04,Content
ahnden,10,0,08,Content
Anhieb,10,1,38,Content
schuften,10,2,2,Content
schwungvoll,10,0,08,Content
Echse,10,1,18,Content
abfahren,100,2,72,Content
Leichenwagen,1000,1,38,Content
genetisch,010,4,02,Content
buhlen,10,0,43,Content
problematisch,0010,3,35,Content
lehrreich,10,1,18,Content
ablegen,100,7,87,Content
abschwellen,100,0,12,Content
schluderig,100,0,12,Content
auspacken,100,4,49,Content
aufflammen,100,0,16,Content
hartgesotten,1000,0,31,Content
Schnee,1,23,82,Content
frommen,10,0,71,Content
beistehen,100,2,6,Content
Abstrich,10,0,83,Content
Mondfinsternis,1000,0,51,Content
kugelrund,100,0,12,Content
Stabsoffizier,1000,0,08,Content
Schelte,10,0,24,Content
Stromkabel,100,0,91,Content
Schock,1,19,13,Content
lahm,1,8,5,Content
Packer,10,0,28,Content
fehlerlos,100,0,47,Content
Integrierung,0010,0,16,Content
Lingerie,001,0,16,Content
Engagement,0001,2,52,Content
anerkennen,1000,3,11,Content
Kult,1,1,57,Content
lochen,10,0,63,Content
Rutsch,1,4,25,Content
Ton,1,30,Content
versteifen,010,0,12,Content
Rektorat,001,0,04,Content
Leseratte,1000,0,28,Content
Filterung,100,0,2,Content
unterhalb,100,2,95,Content
Altenheim,100,0,83,Content
Mai,1,19,45,Content
aufleben,100,0,87,Content
Konservatorium,000100,1,1,Content
hineingreifen,0100,0,16,Content
Reservation,00001,0,08,Content
eineinhalb,101,3,11,Function
Nugat,10,0,08,Content
Zigarrenkiste,01000,0,2,Content
Vorderteil,100,0,24,Content
Entkrampfung,010,0,24,Content
schonungslos,100,0,43,Content
Abreise,100,5,08,Content
Schulbildung,100,0,47,Content
Belagerung,0100,1,89,Content
blicken,10,13,82,Content
Gratifikation,000001,0,04,Content
bandagieren,0010,0,08,Content
Gezappel,010,0,12,Content
Truppe,10,11,89,Content
Zahlungsanweisung,10000,0,12,Content
verfluchen,010,2,2,Content
Anstecknadel,1000,0,2,Content
ersticken,010,6,73,Content
Stellungnahme,1000,1,93,Content
anquatschen,100,0,39,Content
zappelig,100,0,16,Content
Reitturnier,100,0,04,Content
spielfrei,10,0,04,Content
Rivalin,010,0,71,Content
befeuchten,010,0,16,Content
psychotisch,010,1,14,Content
Sturzflug,10,0,59,Content
Stellenwert,100,0,31,Content
anschleichen,100,0,91,Content
Hagel,10,0,87,Content
Wort,1,184,57,Content
Nachtleben,100,0,51,Content
Fliese,10,0,12,Content
Gemeinsinn,010,0,04,Content
schlabbrig,10,0,04,Content
gutmachen,100,8,94,Content
rechteckig,100,0,04,Content
Boshaftigkeit,1000,0,59,Content
kleinlich,10,1,73,Content
Feststellung,100,0,79,Content
Tamponade,0010,0,04,Content
Farbband,10,0,08,Content
Anstreicher,100,0,2,Content
unterbrechen,0010,13,74,Content
Stationsschwester,00100,0,12,Content
Staatsanwalt,100,10,87,Content
Scala,10,0,08,Content
nahtlos,10,0,59,Content
stillhalten,100,3,62,Content
verunreinigen,01000,0,63,Content
kampieren,010,0,75,Content
Postkarte,100,2,99,Content
Landfriedensbruch,1000,0,04,Content
Hochsaison,100,0,35,Content
Truthahn,10,8,11,Content
entladen,010,1,81,Content
Artischocke,0010,0,12,Content
beinah,10,3,03,Content
enttarnen,010,0,47,Content
unbefriedigend,10000,0,87,Content
Spot,1,3,19,Content
es,1,14861,14,Function
Gewirr,01,0,24,Content
Rauferei,001,0,79,Content
begatten,010,0,12,Content
Fluglinie,1000,0,67,Content
derselbe,010,13,15,Function
entgehen,010,7,95,Content
Kompost,01,0,35,Content
Manipulation,000001,2,32,Content
Skala,10,1,65,Content
Tyche,10,0,08,Content
abschreiben,100,1,77,Content
Ausflugsziel,100,0,04,Content
Erz,1,1,18,Content
lebensfroh,100,0,12,Content
Shilling,10,0,2,Content
Decke,10,23,74,Content
Histologie,0001,0,16,Content
Kurzschrift,10,0,16,Content
dalassen,100,0,67,Content
totenbleich,100,0,04,Content
Kichererbse,1000,0,04,Content
Wesir,01,0,55,Content
Teilnehmer,100,3,54,Content
so,1,5300,92,Content
Anthologie,0001,0,08,Content
wundersam,100,0,16,Content
bewohnbar,010,0,51,Content
Entsagung,010,0,08,Content
Flosse,10,0,67,Content
schweinisch,10,0,12,Content
Baptist,01,0,35,Content
Lebensphilosophie,100000,0,28,Content
einweisen,100,2,2,Content
Trennwand,10,0,39,Content
Einhorn,10,2,6,Content
Finanzkrise,0100,0,12,Content
Sardine,010,0,63,Content
Urbanisierung,00010,0,08,Content
Kegel,10,0,91,Content
Winkeladvokat,10000,0,08,Content
Hasel,10,0,04,Content
verschiffen,010,0,39,Content
abonnieren,0010,0,43,Content
Kuhmist,10,0,31,Content
Therapeut,001,1,61,Content
Fortuna,010,1,54,Content
betreiben,010,5,51,Content
Astwerk,10,0,04,Content
schlicht,1,3,74,Content
vergebens,010,1,89,Content
weither,10,0,12,Content
entgegenstellen,01000,0,63,Content
Unkosten,100,1,18,Content
Applikation,00001,0,04,Content
Violine,0010,1,46,Content
Block,1,12,64,Content
Inventar,001,1,61,Content
Leidensgeschichte,10000,0,31,Content
Industrie,001,2,4,Content
Promenade,0010,1,34,Content
kaputtschlagen,0100,0,2,Content
Endpunkt,10,0,2,Content
erfrischend,010,2,83,Content
gleichkommen,100,0,04,Content
Atlantis,010,15,43,Content
Raubmord,10,0,04,Content
Schuldienst,10,0,04,Content
verstehen,010,218,32,Content
Inspektion,0001,2,24,Content
Locher,10,0,63,Content
Verschwiegenheit,0100,0,79,Content
absterben,100,0,43,Content
Ratifikation,000001,0,08,Content
Landgut,10,0,35,Content
Schinderei,001,0,16,Content
Kitt,1,3,15,Content
unentgeltlich,0010,0,08,Content
Taschenbuch,100,0,12,Content
Reeder,10,0,08,Content
Musikinstrument,01000,0,2,Content
einkleben,100,0,16,Content
Halbierung,100,0,04,Content
Zeichenheft,100,0,04,Content
vorweisen,100,1,26,Content
Wasserstand,100,0,31,Content
direkt,01,131,38,Content
hellwach,10,1,34,Content
niederhalten,1000,0,08,Content
eigenwillig,1000,0,2,Content
anderswie,101,0,04,Content
anderthalb,101,6,89,Function
Klumpen,10,3,03,Content
Erfordernis,0100,0,04,Content
jahrhundertelang,10000,0,39,Content
Seestern,10,0,28,Content
Vanille,010,2,56,Content
Todfeind,10,0,51,Content
schwellen,10,0,59,Content
Prozedur,001,2,32,Content
verschneit,01,0,12,Content
Nudelholz,101,0,08,Content
Veranstaltung,0100,5,67,Content
Steuerhinterziehung,100000,0,2,Content
verkehrswidrig,0100,0,04,Content
kriegen,10,184,5,Content
Quantum,10,0,2,Content
Sodomit,001,0,08,Content
Resultat,001,5,24,Content
zerknittern,010,0,12,Content
meine,10,2639,67,Function
Fliegerei,001,0,51,Content
Schulreform,100,0,04,Content
reibungslos,100,0,83,Content
Steuerruder,1000,0,39,Content
fertigstellen,1000,1,02,Content
Spital,01,1,85,Content
Kohlendioxyd,10000,0,16,Content
Choreografie,00001,0,24,Content
Schlecker,10,0,04,Content
Tscheche,10,0,31,Content
Russ,1,4,72,Content
Wegstrecke,100,0,2,Content
arrogant,001,6,22,Content
Umgestaltung,1000,0,43,Content
Expertise,0010,0,24,Content
Soziologe,00010,0,04,Content
einschleppen,100,0,12,Content
Kaution,001,8,86,Content
Erstausgabe,1000,0,71,Content
Rohrstock,10,0,12,Content
Aufdruck,10,0,39,Content
Tracht,1,2,56,Content
Schwerelosigkeit,10000,1,1,Content
Frachtbrief,10,0,31,Content
punkto,10,0,16,Function
einrichten,100,5,43,Content
Alraune,010,0,35,Content
Legat,01,0,08,Content
Pause,10,47,8,Content
Medikation,00001,0,43,Content
Luftpumpe,100,0,12,Content
austun,10,0,04,Content
Standpauke,100,0,98,Content
entfernt,01,57,36,Content
frieren,10,3,07,Content
Punch,1,1,02,Content
sichergehen,1000,6,81,Content
unstrukturiert,1000,0,08,Content
klugerweise,1000,0,04,Content
Innenwelt,100,0,04,Content
Schnur,1,3,82,Content
schlappmachen,100,0,31,Content
Bauweise,100,0,2,Content
Magd,1,1,46,Content
Dominanz,001,0,28,Content
Psi,1,0,51,Content
Moslem,10,2,56,Content
mitnehmen,100,54,02,Content
ausliefern,100,5,32,Content
Abdecker,100,0,04,Content
unterteilen,0010,0,16,Content
Tunichtgut,100,0,75,Content
bemessen,010,0,24,Content
Normandie,001,1,65,Content
Tamil,10,0,28,Content
wohlbestallt,100,0,08,Content
unbrauchbar,100,2,56,Content
Stute,10,1,18,Content
behutsam,010,2,95,Content
Mittelschiff,100,0,08,Content
Kennwort,10,0,91,Content
Stadttor,10,0,08,Content
Ritus,10,0,91,Content
Twist,1,3,27,Content
Portier,001,3,15,Content
Artefakt,001,3,27,Content
Kuppelei,001,0,12,Content
Synchronisation,000001,0,51,Content
zusammenlaufen,01000,0,12,Content
Wirtschaftsgeschichte,10000,0,08,Content
Armatur,001,0,04,Content
Kasse,10,9,61,Content
Tanzlokal,100,0,24,Content
Job,1,239,42,Content
Farbfernseher,1000,0,55,Content
Verbrecheralbum,01000,0,04,Content
erschlagen,010,6,38,Content
Jagdrevier,100,0,16,Content
sozusagen,0010,14,17,Content
Sandhaufen,100,0,04,Content
Feder,10,12,4,Content
Ware,10,17,48,Content
mitsprechen,100,0,04,Content
Hauptsache,100,12,17,Content
ideal,001,5,87,Content
Speisekarte,1000,3,11,Content
Schutztruppe,100,0,08,Content
einreiben,100,0,87,Content
Erhebung,010,0,24,Content
Versteinerung,0100,0,16,Content
Mechaniker,0100,4,96,Content
Fallsucht,10,0,04,Content
Pilsner,10,0,08,Content
Arsenal,001,2,2,Content
Spindel,10,0,08,Content
Sickerwasser,1000,0,04,Content
Streu,1,0,2,Content
Transportunternehmen,010000,0,16,Content
Golfer,10,2,28,Content
Selbstbestimmung,1000,0,12,Content
spazieren,010,21,18,Content
Gesundheit,010,16,61,Content
Minderung,100,0,08,Content
Knallbonbon,100,0,12,Content
Wahlurne,100,0,2,Content
scheiden,10,12,01,Content
Lord,1,43,19,Content
ranken,10,0,16,Content
ruckartig,100,0,28,Content
Ausgeburt,100,0,59,Content
Pfarramt,10,0,08,Content
Eigentum,100,10,08,Content
Polenta,010,0,16,Content
danken,10,49,1,Content
jeher,10,1,26,Content
extrahieren,0010,1,06,Content
Unterbringung,1000,0,43,Content
stur,1,7,36,Content
abblasen,100,2,76,Content
abtippen,100,0,31,Content
Thermosflasche,1000,0,55,Content
Krisenherd,100,0,35,Content
Verpackung,010,1,85,Content
Desertion,0001,0,63,Content
Schraubenmutter,1000,0,12,Content
duzen,10,0,75,Content
diktatorisch,0010,0,08,Content
Punsch,1,1,61,Content
Creme,1,1,85,Content
Kenntnis,10,6,06,Content
Observation,00001,0,16,Content
famos,01,0,35,Content
Copyright,100,1,73,Content
Lebensgefahr,1000,2,87,Content
Klassiker,100,6,14,Content
Ensemble,010,1,3,Content
friedvoll,10,0,16,Content
Grundausstattung,1000,0,43,Content
unzivilisiert,10000,0,67,Content
durchschleichen,010,0,16,Content
Lebensalter,1000,0,28,Content
wegbleiben,100,2,64,Content
fünftausend,100,0,59,Function
unkeusch,10,0,16,Content
Bahre,10,1,89,Content
Handwerkszeug,100,0,28,Content
Unachtsamkeit,1000,0,2,Content
Sieger,10,12,28,Content
Spitzensportler,1000,0,12,Content
Ache,10,0,43,Content
nachvollziehen,1000,2,36,Content
Sehrohr,10,0,31,Content
Panzerschiff,100,0,24,Content
Lehrerschaft,100,0,24,Content
Tiefdruck,10,0,08,Content
Mutterland,100,0,31,Content
ausarbeiten,1000,1,1,Content
abschlachten,100,1,81,Content
Barde,10,0,2,Content
lichterloh,101,0,47,Content
Andenken,100,8,19,Content
kaputtgehen,0100,0,55,Content
Jawort,10,0,31,Content
Theologie,0001,1,18,Content
Toxikologie,00001,0,24,Content
Ausweglosigkeit,10000,0,04,Content
Perser,10,2,91,Content
Hydrant,01,0,35,Content
aufwiegen,100,0,24,Content
Jahreszeit,100,5,87,Content
Heldentat,100,0,47,Content
Bergbau,10,0,51,Content
feuerfest,100,0,47,Content
profitabel,0010,0,47,Content
Intimbereich,0100,0,04,Content
Grazie,100,1,61,Content
anfechtbar,100,0,08,Content
Hypophyse,0010,0,39,Content
vernehmbar,010,0,04,Content
Sims,1,0,75,Content
Schaukel,10,2,64,Content
siegreich,10,1,5,Content
Schneepflug,10,0,24,Content
abschweifen,100,0,16,Content
Bagger,10,1,06,Content
Blumenbeet,100,0,28,Content
Erfolglosigkeit,01000,0,04,Content
Schiffstaufe,100,0,2,Content
Kamerad,001,6,14,Content
Kelterei,001,0,08,Content
anreizen,100,0,08,Content
Passierschein,010,1,5,Content
Flanke,10,3,9,Content
bimmeln,10,0,24,Content
Umschreibung,010,0,39,Content
modulieren,0010,0,04,Content
ausspannen,100,0,91,Content
Bad,1,41,73,Content
Mohikaner,0010,0,04,Content
Rhein,1,1,97,Content
verputzen,010,0,31,Content
verkaufen,010,84,89,Content
Virus,10,42,36,Content
jener,10,12,21,Function
unbeobachtet,10000,0,51,Content
schonen,10,2,68,Content
Luxusvilla,1000,0,12,Content
unmerklich,100,0,31,Content
Physiotherapeut,100000,0,12,Content
Trostpreis,10,0,59,Content
Kitzel,10,0,71,Content
festsaugen,100,0,08,Content
Anderssein,100,0,04,Content
Medikament,0001,3,19,Content
einvernehmlich,1000,0,12,Content
Mittwoch,10,14,76,Content
Angeklagte,1000,6,58,Content
Rattenfalle,1000,0,08,Content
Wirkung,10,15,43,Content
Nagelhaut,100,0,04,Content
Wippe,10,0,24,Content
Riecher,10,0,59,Content
hinbringen,100,6,65,Content
wetten,10,28,54,Content
Stups,1,0,35,Content
Ermessensfrage,01000,0,08,Content
Neubau,10,0,08,Content
schamhaft,10,0,16,Content
Atomenergie,01000,0,43,Content
Hausratversicherung,100000,0,08,Content
bestialisch,0010,0,24,Content
vulkanisieren,00010,0,08,Content
Kletterpflanze,1000,0,04,Content
Feindschaft,10,0,39,Content
Tonart,10,0,31,Content
Schusswaffe,100,0,98,Content
Warenlager,1000,0,31,Content
zivilisiert,0001,2,48,Content
Seenot,10,0,08,Content
Tic,1,0,51,Content
postieren,010,1,14,Content
Hirtin,10,0,04,Content
Siegeszug,100,0,28,Content
sentimental,0001,4,69,Content
Telefonzentrale,001000,0,71,Content
Trinkgeld,10,10,28,Content
Beziehung,010,70,24,Content
Schizophrenie,0001,1,61,Content
aufdrehen,100,1,14,Content
Konkurrent,001,0,51,Content
Mineralbad,0010,0,04,Content
Magnesium,0100,0,43,Content
Stadtplan,10,1,02,Content
entstellen,010,0,16,Content
Flor,1,1,38,Content
Lehnsherr,10,0,39,Content
ausgewachsen,1000,0,39,Content
Husten,10,7,05,Content
Pfeife,10,10,12,Content
zitieren,010,3,46,Content
Falschspieler,100,0,2,Content
Schnellboot,10,0,28,Content
Zunahme,100,0,55,Content
Indien,100,16,46,Content
Illustration,00001,0,2,Content
Zeremonienmeister,001000,0,2,Content
Rotkehlchen,100,0,71,Content
aufbrausend,100,0,59,Content
Filmdiva,100,0,12,Content
Inkraftsetzung,0100,0,04,Content
bekennen,010,2,24,Content
Unvoreingenommenheit,1000000,0,08,Content
vorstellen,100,101,85,Content
Visitenkarte,01000,3,11,Content
anklingen,100,0,16,Content
Kleidung,10,23,94,Content
Huhn,1,17,05,Content
zulernen,100,0,24,Content
Mosaik,001,0,35,Content
Bikini,010,2,44,Content
kopieren,010,5,08,Content
Spinnaker,100,0,2,Content
disponieren,0010,0,04,Content
Relativismus,00010,0,04,Content
Pflaster,10,5,08,Content
zuwege,010,0,12,Content
anpeilen,100,0,39,Content
Anfall,10,8,94,Content
verletzen,010,31,54,Content
Trompeter,010,0,24,Content
Umstrukturierung,10000,0,39,Content
Wampum,10,0,04,Content
Prellung,10,0,24,Content
Teekessel,100,0,16,Content
Formulierung,0010,0,67,Content
Reparation,00001,0,04,Content
erfrieren,010,1,93,Content
urkundlich,100,0,04,Content
Pastille,010,0,04,Content
Aufhebung,100,0,63,Content
solid,01,0,55,Content
Schnellverfahren,1000,0,35,Content
Schlafrock,10,0,16,Content
Kasino,010,4,37,Content
Staubtuch,10,0,04,Content
melodisch,010,0,12,Content
Agnostizismus,00010,0,04,Content
umleiten,100,1,65,Content
Urzeit,10,0,2,Content
Spiegelung,100,0,87,Content
Xanthippe,010,0,31,Content
Machtkampf,10,0,59,Content
Wintertag,100,0,16,Content
Schach,1,9,06,Content
Flugbahn,10,1,85,Content
bockig,10,0,2,Content
Wanderkarte,1000,0,04,Content
beichten,10,4,76,Content
vertonen,010,0,12,Content
wacklig,10,0,35,Content
schimmlig,10,0,08,Content
Kirschbaum,10,0,31,Content
Loblied,10,0,28,Content
Untergeschoss,1000,1,5,Content
herzensgut,100,0,16,Content
angeln,10,9,09,Content
Marathon,100,1,73,Content
Schwerpunkt,10,1,14,Content
Omen,10,3,54,Content
Masturbation,00001,1,61,Content
Pfandschein,10,0,04,Content
Schwelle,10,2,72,Content
tippen,10,3,74,Content
widersprechen,0010,4,92,Content
Geweih,01,0,59,Content
Einberufung,1000,0,55,Content
Wetzstahl,10,0,08,Content
heute,10,962,75,Content
lenken,10,6,1,Content
abmessen,100,0,24,Content
Nachklang,10,0,16,Content
Glockenklang,100,0,04,Content
gefahrvoll,010,0,04,Content
Fabel,10,0,35,Content
Wegbereiter,1000,0,39,Content
sachbezogen,1000,0,04,Content
gefallen,010,199,38,Content
Tagesanbruch,1000,3,27,Content
niederschlagen,1000,0,75,Content
Verzug,01,1,73,Content
Nest,1,8,5,Content
Mutterherz,100,0,31,Content
Hilfeleistung,1000,0,12,Content
Pilger,10,1,81,Content
Staubecken,100,0,04,Content
Pharmazeut,001,0,12,Content
Anarchist,001,0,47,Content
Satyr,01,0,16,Content
Genesung,010,3,31,Content
Entfaltung,010,0,2,Content
Schusslinie,1000,3,43,Content
opfern,10,18,5,Content
Spanier,100,2,64,Content
selber,10,83,Function
Durchsichtigkeit,1000,0,04,Content
Simulator,0010,0,51,Content
abzielen,100,0,12,Content
Neufassung,100,0,24,Content
Heber,10,0,04,Content
ehrenhaft,100,3,27,Content
alleinstehend,0100,0,24,Content
Strahl,1,4,88,Content
Lapsus,10,0,04,Content
butterweich,101,0,12,Content
Sparsamkeit,100,0,08,Content
Air,1,12,64,Content
Intellektualismus,0000010,0,04,Content
kurzfristig,100,4,13,Content
hungrig,10,28,03,Content
vollkaskoversichert,100000,0,04,Content
Regler,10,0,83,Content
schieben,10,16,77,Content
puterrot,101,0,08,Content
Abbitte,100,0,28,Content
festhalten,100,23,47,Content
Rebell,01,2,56,Content
penibel,010,0,31,Content
Beweggrund,010,0,63,Content
legitim,001,0,83,Content
Purgatorium,00100,0,08,Content
anzahlen,100,0,12,Content
erdulden,010,1,18,Content
Staatsfeiertag,1000,0,04,Content
trainieren,010,14,92,Content
frech,1,9,8,Content
Demonstration,00001,3,27,Content
bedeutend,010,3,15,Content
Zielfernrohr,100,0,59,Content
umsehen,100,7,05,Content
stinkfaul,11,0,31,Content
Spannungsabfall,1000,0,04,Content
Membran,01,0,35,Content
aufdecken,100,2,64,Content
widerspruchsvoll,1000,0,04,Content
Quader,10,0,2,Content
Anordnung,100,5,28,Content
ran,1,61,89,Content
zerspalten,010,0,08,Content
eskortieren,0010,1,69,Content
Regenfall,100,0,04,Content
einsperren,100,8,43,Content
Sublimation,00001,0,04,Content
Adlige,100,0,55,Content
Legende,010,19,37,Content
Abgeordnetenhaus,100000,0,2,Content
plaudern,10,5,91,Content
verbannen,010,1,77,Content
Versteigerung,0100,0,63,Content
Zellstoff,10,0,08,Content
Putzerei,001,0,16,Content
harmonieren,0010,0,47,Content
Weltbild,10,0,43,Content
Struktur,10,6,22,Content
Meeresboden,1000,1,18,Content
arg,1,1,57,Content
unbeherrscht,100,0,2,Content
Outsider,100,0,08,Content
erobern,010,6,77,Content
Metallbearbeitung,010000,0,08,Content
Eintagsfliege,1000,0,31,Content
erleiden,010,3,5,Content
nachher,01,32,21,Content
kennzeichnen,100,0,91,Content
austauschbar,100,0,24,Content
eingreifen,100,5,95,Content
durchgeben,100,1,06,Content
appetitlich,0010,0,35,Content
hochnehmen,100,1,89,Content
erwirken,010,0,91,Content
Erschaffung,010,0,91,Content
Flieger,10,12,91,Content
Lotto,10,3,39,Content
memorieren,0010,0,08,Content
beeinflussen,0100,11,54,Content
Milchkanne,100,0,24,Content
Verdichter,010,0,08,Content
Verfehlung,010,0,16,Content
Erwachsene,0100,13,98,Content
Menschenfreund,100,0,83,Content
verblenden,010,0,08,Content
Werbefachmann,1000,0,16,Content
schlecht,1,196,11,Content
Konvaleszenz,0001,0,04,Content
Not,1,16,54,Content
Erkennung,010,0,63,Content
umfliegen,010,0,16,Content
Wiedergutmachung,00100,2,24,Content
Plan,1,161,9,Content
abblenden,100,0,2,Content
Wasserdampf,100,0,2,Content
Schaumwein,10,0,08,Content
Prinzessin,010,65,51,Content
Fuchsschwanz,10,0,08,Content
Tempelritter,1000,0,43,Content
schleunig,10,0,08,Content
Felsvorsprung,100,0,39,Content
routiniert,001,0,04,Content
